id,input,answer,additional_context,few_shot
77,"Claim: Data dog evidence quick over quick.
Context: Lazy model evidence data lazy claim lazy lazy evidence dog brown verify over brown quick jumps over brown evidence lazy jumps dog quick.",SUPPORTED,{},"[{""input"": ""Claim: Brown dog jumps over lazy model. Context: Brown dog jumps over the lazy model; evidence confirms the jump."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox runs under the dog. Context: The fox jumps over the dog in the evidence line."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Quick data verify lazy evidence. Context: Quick data verify the lazy evidence in the brown summary."", ""label"": ""SUPPORTED""}]"
26,"Claim: Fox over evidence ai ai verify evidence claim jumps quick.
Context: Claim fox jumps fox dog jumps the quick ai data data brown dog brown dog model over over model lazy data model the over evidence quick data over verify the brown lazy dog over over data.",SUPPORTED,{},"[{""input"": ""Claim: The cat sat on the mat. Context: A cat is sitting on a mat in the living room."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Water boils at 100 degrees Celsius at sea level. Context: The textbook states that at sea level, water's boiling point is 100 degrees Celsius."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Alice won the 2020 race. Context: Official results state Bob won the 2020 race, with Alice in second place."", ""label"": ""NOT_SUPPORTED""}]"
36,"Claim: Data model over ai lazy dog ai the over over over over.
Context: Brown dog verify evidence dog fox ai evidence brown data lazy jumps lazy the data verify model quick data dog ai over quick fox evidence ai over jumps jumps claim over dog data dog.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text states the quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The data model predicts the dog is black. Context: The passage describes a brown dog and offers no prediction results."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI verifies the evidence twice. Context: The context reports that AI verifies the evidence twice with logs."", ""label"": ""SUPPORTED""}]"
58,"Claim: Dog the jumps evidence data over the brown verify fox brown model.
Context: Brown ai brown brown evidence dog claim the the model claim fox verify evidence data jumps over model lazy verify.",SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The description confirms a quick brown fox leaping over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Penguins can fly across the Atlantic. Context: The article says penguins are flightless and travel by swimming, not flying."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Mars is the fourth planet from the Sun. Context: The text lists Mercury, Venus, Earth, then Mars as the fourth planet."", ""label"": ""SUPPORTED""}]"
71,"Claim: Verify jumps quick evidence quick data lazy over model dog data.
Context: Claim lazy fox jumps verify evidence dog over over claim dog over claim brown brown over the quick fox model jumps ai evidence data ai.",NOT_SUPPORTED,{},"[{""input"": ""Claim: Quick brown fox jumps over the lazy dog. Context: Evidence in the data confirms the quick brown fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The lazy dog jumps over the fox. Context: The context says the fox jumps over the dog and provides no data of the dog jumping over the fox."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI model evidence verifies the fox jumps over the dog. Context: Model data and evidence state the fox jumps over the dog, supporting the claim."", ""label"": ""SUPPORTED""}]"
8,"Claim: Data dog dog claim data lazy model over ai dog.
Context: Quick fox quick claim claim jumps lazy dog over fox data lazy quick brown dog over data quick over evidence lazy evidence brown claim dog verify claim verify dog.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text confirms a quick brown fox jumps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Data shows the lazy dog outruns the quick fox. Context: The sentence says the quick fox outruns the lazy dog."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The report states there is evidence of a lazy dog. Context: The context says evidence confirms a lazy dog was present."", ""label"": ""SUPPORTED""}]"
86,"Claim: Dog model claim the data ai claim fox.
Context: Evidence over the model the brown over verify jumps brown over dog fox data the lazy lazy brown jumps ai quick fox brown data fox over.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The model says the quick fox jumps over the lazy dog. Context: Logs show the quick fox jumps over the lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The data claims the brown dog chases the fox. Context: Evidence shows the brown dog stays lazy while the fox jumps away."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: AI notes two foxes jump over one dog. Context: Records confirm two foxes jump over one lazy dog."", ""label"": ""SUPPORTED""}]"
28,"Claim: Brown jumps model evidence ai fox model claim brown brown data over claim the.
Context: Jumps claim claim brown claim over dog lazy brown dog the data brown fox brown jumps jumps quick brown fox verify fox.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: The text states that a quick brown fox jumps over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: Paris is the capital of Germany. Context: Berlin is the capital of Germany."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Mars is known as the Red Planet. Context: Mars is often called the Red Planet because of its reddish color."", ""label"": ""SUPPORTED""}]"
22,"Claim: Evidence verify data claim ai claim quick the over the model evidence brown.
Context: Verify verify brown quick lazy verify verify quick the dog data evidence the over quick verify ai jumps verify fox data model evidence the over.",NOT_SUPPORTED,{},"[{""input"": ""Claim: The quick brown fox jumps over the lazy dog. Context: A quick brown fox is said to jump over a lazy dog."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The AI model verifies all data instantly. Context: The model is described as slow and often fails to verify data."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: Evidence confirms the model is quick. Context: The text states the model is quick and efficient."", ""label"": ""SUPPORTED""}]"
54,"Claim: Brown claim ai verify verify quick model dog model data fox claim quick claim.
Context: Verify jumps dog dog evidence brown data over quick brown data model over dog ai claim evidence evidence verify lazy the lazy model jumps the model verify lazy the the fox over lazy.",SUPPORTED,{},"[{""input"": ""Claim: The brown fox jumps over the lazy dog. Context: The brown fox jumps over the lazy dog as observed."", ""label"": ""SUPPORTED""}, {""input"": ""Claim: The fox never jumps over dogs. Context: Reports state the fox jumps over the dog frequently."", ""label"": ""NOT_SUPPORTED""}, {""input"": ""Claim: The quick model uses dog data. Context: Documentation confirms the quick model uses dog data."", ""label"": ""SUPPORTED""}]"
